"ind","lat","lon","species","dbh"
"T_CORCOR_H06",42.46696204,-72.21262498,"CORCOR",""
"T_CORCOR_H07",42.46679901,-72.21304298,"CORCOR",""
"T_CORCOR_H09",42.46570501,-72.21325697,"CORCOR",""
"T_CORCOR_H10",42.46557098,-72.21309797,"CORCOR",""
"T_CORCOR_H11",42.46555899,-72.21315798,"CORCOR",""
"T_CORCOR_H12",42.46550803,-72.21307701,"CORCOR",""
"T_CORCOR_H13",42.46566201,-72.21319403,"CORCOR",""
"T_CORCOR_H14",42.46571003,-72.21339997,"CORCOR","4.7"
"T_CORCOR_H15",42.46571003,-72.21326804,"CORCOR",""
"T_CORCOR_H16",42.46571104,-72.21319302,"CORCOR",""
"T_CAROVA_H01",42.46619199,-72.21200304,"CAROVA","2.7"
"T_CAROVA_H02",42.466208,-72.21207001,"CAROVA","1.5"
"T_CAROVA_H03",42.46615201,-72.21200396,"CAROVA","1.5, 1.6"
"T_CAROVA_H04",42.46655501,-72.21286696,"CAROVA",""
"T_CAROVA_H05",42.46548599,-72.21319797,"CAROVA","4.1"
"T_CAROVA_H06",42.46551801,-72.21305396,"CAROVA","4.1"
"T_CAROVA_H07",42.46563099,-72.21313703,"CAROVA","2.6"
"T_CAROVA_H08",42.46564097,-72.21316301,"CAROVA","3.1"
"T_CAROVA_H09",42.46546897,-72.213075,"CAROVA","2"
"T_CAROVA_H10",42.46579997,-72.21325496,"CAROVA","1.0, 1.1"
"T_CAROVA_H11",42.46574499,-72.21320199,"CAROVA","2.6"
"T_CAROVA_H12",42.46658603,-72.21338597,"CAROVA","5.5"
"T_CAROVA_H13",42.46706799,-72.212284,"CAROVA","2.5"
"T_CAROVA_H14",42.467128,-72.21184596,"CAROVA","3"
"T_CAROVA_H15",42.467143,-72.21181001,"CAROVA","2.6"
"T_CAROVA_H16",42.46743,-72.21319201,"CAROVA","1.9"
"T_FAGGRA_H01",42.46820097,-72.21265901,"FAGGRA","5.8"
"T_FAGGRA_H02",42.46814196,-72.21251501,"FAGGRA","12.1"
"T_FAGGRA_H03",42.46895098,-72.21245198,"FAGGRA","12.7"
"T_FAGGRA_H04",42.46918702,-72.21259204,"FAGGRA","4.1"
"T_FAGGRA_H08",42.46710001,-72.21242197,"FAGGRA","2.7"
"T_FAGGRA_H09",42.46876901,-72.21301197,"FAGGRA","6.2"
"T_FAGGRA_H10",42.46854899,-72.21288096,"FAGGRA","5.6"
"T_FAGGRA_H11",42.47499199,-72.21408997,"FAGGRA","7"
"T_FAGGRA_H12",42.466135,-72.21263001,"FAGGRA","2.1"
"T_FAGGRA_H13",42.46674797,-72.21288004,"FAGGRA","1.8"
"T_FAGGRA_H14",42.46558799,-72.21339201,"FAGGRA","10.5"
"T_FAGGRA_H15",42.46576502,-72.21334197,"FAGGRA","6"
"T_FAGGRA_H16",42.465833,-72.21323602,"FAGGRA","19.2"
"T_HAMVIR_H01",42.46804104,-72.21272397,"HAMVIR","2.7"
"T_HAMVIR_H02",42.46865401,-72.212471,"HAMVIR","5.3,2.8,2.5,2.6"
"T_HAMVIR_H03",42.46868502,-72.21252498,"HAMVIR","4.5, 2.7"
"T_HAMVIR_H04",42.468422,-72.21257703,"HAMVIR","2.5,3.3"
"T_HAMVIR_H05",42.46814397,-72.21249699,"HAMVIR","1.9"
"T_HAMVIR_H06",42.46823299,-72.21254803,"HAMVIR","3.3"
"T_HAMVIR_H07",42.46764198,-72.21226598,"HAMVIR","1.4"
"T_HAMVIR_H10",42.46773602,-72.21239104,"HAMVIR","3.5"
"T_HAMVIR_H11",42.467747,-72.21233798,"HAMVIR","1.2"
"T_HAMVIR_H12",42.46779403,-72.21231099,"HAMVIR",""
"T_HAMVIR_H14",42.46810902,-72.21255097,"HAMVIR","2"
"T_HAMVIR_H15",42.46827699,-72.21303502,"HAMVIR",""
"T_HAMVIR_H15",42.468623,-72.212874,"HAMVIR",""
"T_HAMVIR_H16",42.46844497,-72.21244401,"HAMVIR","1.2"
"T_ILEVER_H03",42.46702298,-72.212528,"ILEVER","2.3"
"T_ILEVER_H04",42.46664696,-72.21318698,"ILEVER","2"
"T_ILEVER_H05",42.46681603,-72.21309302,"ILEVER",""
"T_ILEVER_H06",42.46674797,-72.21287602,"ILEVER","1.6"
"T_ILEVER_H07",42.465416,-72.21322001,"ILEVER","1.7, 2.4"
"T_ILEVER_H08",42.46539898,-72.21308003,"ILEVER","3.6"
"T_ILEVER_H09",42.46569796,-72.21309001,"ILEVER","1.7"
"T_ILEVER_H10",42.46556603,-72.21309696,"ILEVER","2.1"
"T_ILEVER_H11",42.46563703,-72.213117,"ILEVER","1.8"
"T_ILEVER_H12",42.465978,-72.21310501,"ILEVER",""
"T_ILEVER_H13",42.46578304,-72.21315798,"ILEVER","3"
"T_ILEVER_H14",42.46614397,-72.21384102,"ILEVER",""
"T_ILEVER_H15",42.46641504,-72.21386097,"ILEVER",""
"T_ILEVER_H16",42.46733101,-72.21313099,"ILEVER",""
"T_VIBACE_H04",42.46838403,-72.21289404,"VIBACE",""
"T_VIBACE_H05",42.468522,-72.21302798,"VIBACE",""
"T_VIBACE_H06",42.46697403,-72.21279203,"VIBACE",""
"T_VIBACE_H07",42.46667102,-72.21295003,"VIBACE",""
"T_VIBACE_H08",42.46665602,-72.21287199,"VIBACE",""
"T_VIBACE_H09",42.46672299,-72.21300996,"VIBACE",NA
"T_VIBACE_H10",42.46678703,-72.21286403,"VIBACE",NA
"T_VIBACE_H11",42.46567399,-72.21303703,"VIBACE",""
"T_VIBACE_H12",42.46619401,-72.21364103,"VIBACE",""
